event_id,state_code,latitude,longitude,event_date,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count,admin_division_name,location_description
7214,1,27.36,93.0385,2015-07-15 08:00:00,landslide,monsoon,medium,3,0,Arunachal Pradesh,Type-IV Colony of Seppa in East Kameng
7139,2,26.8826,88.2806,2015-07-07 23:00:00,landslide,continuous_rain,medium,1,0,West Bengal,Kurseong
7138,7,27.0816,88.4397,2015-07-07 00:00:00,landslide,continuous_rain,small,0,0,Sikkim,"NH-10, Sepi Jhora, Kalimpong"
7076,2,26.9282,88.4553,2015-07-04 18:00:00,landslide,unknown,small,0,0,West Bengal,near Kalijhora
7038,2,26.8781,88.2807,2015-07-01 00:00:00,landslide,downpour,medium,0,0,West Bengal,"Khahare Khola, Kurseong"
7040,2,26.9978,88.167,2015-07-01 00:00:00,landslide,downpour,medium,1,0,West Bengal,Sukhiapokhari
7037,2,26.8811,88.2779,2015-07-01 00:00:00,landslide,downpour,medium,0,0,West Bengal,Kurseong
7036,2,26.8352,88.1881,2015-07-01 00:00:00,landslide,downpour,large,42,0,West Bengal,"Mahendra village, Thana Line, Tingling Garden village in Mirik"
7039,7,27.0678,88.456,2015-07-01 00:00:00,landslide,downpour,medium,0,0,West Bengal,8 mile in Kalimpong
7363,2,26.8843,88.1835,2015-06-30 23:00:00,landslide,downpour,medium,19,0,West Bengal,"Limbu Dhura, Tingling"
7035,2,25.4243,88.2746,2015-06-30 00:00:00,landslide,downpour,medium,3,0,West Bengal,Mahindra
7034,7,27.0875,88.6556,2015-06-30 00:00:00,landslide,downpour,medium,1,0,West Bengal,"Lava, Kalimpong"
7033,7,27.0161,88.2478,2015-06-29 00:00:00,landslide,downpour,medium,0,0,West Bengal,NH-55 at Merry Villa
7021,7,27.0076,88.251,2015-06-27 23:00:00,landslide,downpour,medium,1,0,West Bengal,"Old Monastery Road, Ghum"
6990,6,26.0319,94.5466,2015-06-24 00:00:00,landslide,continuous_rain,medium,0,0,Nagaland,"New Land (""""New Colony"""")"
6963,5,23.7131,92.7362,2015-06-19 00:00:00,landslide,rain,medium,0,0,Mizoram,"Muanna locality, Mizoram"
6945,3,25.16,93.686,2015-06-19 00:00:00,landslide,monsoon,medium,0,0,Manipur,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District"
6965,7,27.0257,88.4301,2015-06-17 00:00:00,landslide,downpour,small,0,0,West Bengal,"National Highway 31A, Darjeeling Hills"
6964,7,27.0087,88.443,2015-06-17 00:00:00,landslide,downpour,small,0,0,West Bengal,"National Highway 31A, Darjeeling Hills"
6966,2,26.9974,88.4314,2015-06-17 00:00:00,landslide,downpour,small,0,0,West Bengal,"National Highway 31A, Darjeeling Hills"
6969,4,25.5114,90.215,2015-06-16 06:15:00,landslide,downpour,medium,4,0,Meghalaya,"Nakham Bazaar, Tura, Meghalaya"
6970,4,25.5084,90.2191,2015-06-16 00:00:00,rock_fall,downpour,small,1,0,Meghalaya,Akonggre
6967,7,27.0165,88.2476,2015-06-13 06:30:00,landslide,downpour,medium,0,0,West Bengal,"Darjeeling Heritage Railway, Darjeeling"
6968,2,25.463,92.2121,2015-06-13 00:00:00,landslide,continuous_rain,medium,4,2,Meghalaya,"Ratacherra village along the NH-44 connecting to Barak Valley in Assam and Tripura, Meghalaya, Mizoramon"
6971,1,27.0987,93.816,2015-06-09 00:00:00,landslide,continuous_rain,medium,2,2,Arunachal Pradesh,"Itanagar, Arunachal Pradesh"
7031,7,27.6163,88.6586,2015-05-24 00:00:00,landslide,unknown,medium,0,0,Sikkim,"Bop, Sikkim"
7591,2,25.0318,92.4584,2015-03-19 00:00:00,landslide,rain,small,0,0,Assam,Ratacherra
6786,2,24.6108,92.562,2015-02-19 23:00:00,landslide,mining,medium,2,1,Assam,
6775,2,26.1468,91.6469,2015-02-14 00:00:00,landslide,mining,small,1,2,Assam,Kailashpur hill
6293,4,25.5006,90.0896,2014-10-20 00:00:00,landslide,rain,medium,6,0,Meghalaya,South West Garo Hills
6214,4,25.9702,91.8587,2014-10-05 17:45:00,landslide,rain,medium,1,0,Meghalaya,Jorabat-Umiam route
6222,1,27.1249,93.7706,2014-10-01 11:00:00,landslide,unknown,small,5,0,Arunachal Pradesh,Karsingsa block point
6213,4,25.8143,90.5763,2014-09-24 00:00:00,landslide,continuous_rain,large,0,0,Meghalaya,Meghalaya
6290,4,25.5772,91.8666,2014-09-23 03:00:00,landslide,continuous_rain,small,8,1,Meghalaya,Mawbah under Mawprem area
6292,2,25.7238,89.9032,2014-09-23 00:00:00,landslide,continuous_rain,small,1,0,Assam,Hatsingimari
6285,2,26.159,91.8178,2014-09-22 00:00:00,landslide,rain,small,0,0,Assam,VIP Road
6282,2,26.1097,91.7747,2014-09-22 00:00:00,landslide,rain,small,1,0,Assam,Lalmati
6287,2,26.1295,91.7056,2014-09-22 00:00:00,landslide,rain,small,0,0,Assam,Dhirenpara
6284,2,26.1324,91.8342,2014-09-22 00:00:00,landslide,rain,small,0,1,Assam,Batahghuli
6286,2,26.1044,91.7082,2014-09-22 00:00:00,landslide,rain,small,0,0,Assam,Garchuk
6289,2,26.1001,91.6849,2014-09-22 00:00:00,landslide,rain,small,0,0,Assam,Pamohi
6288,2,26.1985,91.7998,2014-09-22 00:00:00,landslide,rain,small,0,0,Assam,Noonmati
6283,2,26.1314,91.7548,2014-09-22 00:00:00,landslide,rain,small,0,0,Assam,Dakhingaon
6291,4,25.7354,90.3852,2014-09-21 00:00:00,landslide,continuous_rain,large,0,0,Meghalaya,National Highway 51
6331,6,25.9466,94.6279,2014-09-08 00:00:00,mudslide,unknown,medium,0,0,Nagaland,Kiphire-Seyochung road near Yangzitong village
6200,1,27.0869,93.6086,2014-08-17 00:00:00,landslide,downpour,large,0,0,Arunachal Pradesh,Arunachal Pradesh/Itanagar
6513,8,23.0137,91.7174,2014-08-14 23:00:00,mudslide,downpour,medium,3,0,Tripura,Sabroom
6146,7,27.059,88.4694,2014-07-15 00:00:00,landslide,rain,small,0,0,West Bengal,"Kalimpong, West Bengal"
6143,5,23.7327,92.7463,2014-07-14 18:00:00,landslide,downpour,medium,1,2,Mizoram,"Zembabawk, Aizawl"
6112,2,26.1964,91.7652,2014-06-28 09:00:00,landslide,rain,medium,0,0,Assam,"Kharghuli Hills, Assam"
6110,2,26.1619,91.7697,2014-06-27 00:00:00,landslide,rain,small,3,0,Assam,"Bhangagarh, Assam"
6106,2,26.1407,91.7645,2014-06-26 23:00:00,landslide,continuous_rain,small,3,0,Assam,Narakasur
6107,2,26.1844,91.7896,2014-06-26 23:00:00,landslide,continuous_rain,small,1,0,Assam,Bamunimaidam
